,symbol,date,Ra
478,ATD-B.TO,11-08-2021,0.000586735
479,ATD-B.TO,12-08-2021,-0.005292534
480,ATD-B.TO,13-08-2021,0.004118779
481,ATD-B.TO,16-08-2021,0.007216042
482,ATD-B.TO,17-08-2021,0.005039769
483,ATD-B.TO,18-08-2021,-0.000386807
484,ATD-B.TO,19-08-2021,0.001932346
485,ATD-B.TO,20-08-2021,0.006734016
486,ATD-B.TO,23-08-2021,-0.006927025
487,ATD-B.TO,24-08-2021,-0.010871838
488,ATD-B.TO,25-08-2021,0.003896339
489,ATD-B.TO,26-08-2021,-0.009965914
490,ATD-B.TO,27-08-2021,0.005679147
491,ATD-B.TO,30-08-2021,0.012998585
492,ATD-B.TO,31-08-2021,-0.01750004
493,ATD-B.TO,01-09-2021,-0.013030821
494,ATD-B.TO,02-09-2021,0.018117902
495,ATD-B.TO,03-09-2021,-0.016132535
496,ATD-B.TO,07-09-2021,-0.004173705
497,ATD-B.TO,08-09-2021,0.011455869
498,ATD-B.TO,09-09-2021,-0.004943156
499,ATD-B.TO,10-09-2021,-0.011964276
500,ATD-B.TO,13-09-2021,0.003604331
501,ATD-B.TO,14-09-2021,0.006375797
502,ATD-B.TO,15-09-2021,-0.002386202
503,ATD-B.TO,16-09-2021,-0.006591368
504,ATD-B.TO,17-09-2021,-0.030727907
505,ATD-B.TO,20-09-2021,-0.005179741
506,ATD-B.TO,21-09-2021,0.022389803
507,ATD-B.TO,22-09-2021,-0.010824179
508,ATD-B.TO,23-09-2021,-0.008661659
509,ATD-B.TO,24-09-2021,0.016841647
510,ATD-B.TO,27-09-2021,-0.00900166
511,ATD-B.TO,28-09-2021,-0.007218793
512,ATD-B.TO,29-09-2021,0.009476816
513,ATD-B.TO,30-09-2021,-0.006376688
514,ATD-B.TO,01-10-2021,-0.002686179
515,ATD-B.TO,04-10-2021,-0.014169862
516,ATD-B.TO,05-10-2021,0.011268822
517,ATD-B.TO,06-10-2021,-0.007707541
518,ATD-B.TO,07-10-2021,0.007707541
519,ATD-B.TO,08-10-2021,-0.010639419
520,ATD-B.TO,12-10-2021,-0.01606807
521,ATD-B.TO,13-10-2021,0.012706679
522,ATD-B.TO,14-10-2021,0.006920436
523,ATD-B.TO,15-10-2021,-0.00376885
524,ATD-B.TO,18-10-2021,0.008772011
525,ATD-B.TO,19-10-2021,0.003528734
526,ATD-B.TO,20-10-2021,-0.011671605
527,ATD-B.TO,21-10-2021,0.013121125
528,ATD-B.TO,22-10-2021,0.001447339
529,ATD-B.TO,25-10-2021,0.012524458
530,ATD-B.TO,26-10-2021,-0.0260452
531,ATD-B.TO,27-10-2021,-0.02502252
532,ATD-B.TO,28-10-2021,0.009829058
533,ATD-B.TO,29-10-2021,-0.013055291
534,ATD-B.TO,01-11-2021,0.033262365
535,ATD-B.TO,02-11-2021,0.00104131
536,ATD-B.TO,03-11-2021,0.002287132
537,ATD-B.TO,04-11-2021,0.025426806
538,ATD-B.TO,05-11-2021,0.000809533
